pl_name,hostname,pl_letter,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_telescope,disc_instrument,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,st_spectype,st_rad,st_mass,st_metratio,st_age,st_dens,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_dist,sy_gaiamag,sy_tmag,sky_coord.ra,sky_coord.dec
HD 110067 b,HD 110067,b,3,6,0,Transit,2023,Multiple Telescopes,Multiple Instruments,2.2,0.196,5.69,0.0179,2.94,K0.0 V,0.79,0.8,[Fe/H],8.1,2.67787,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,82.37965,281.0126,22.21432,180.68165,32.1585,8.17208,7.6621,189.8392243,20.0273377
HD 110067 c,HD 110067,c,3,6,0,Transit,2023,Multiple Telescopes,Multiple Instruments,2.388,0.213,6.3,0.01982,,K0.0 V,0.79,0.8,[Fe/H],8.1,2.67787,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,82.37965,281.0126,22.21432,180.68165,32.1585,8.17208,7.6621,189.8392243,20.0273377
HD 110067 d,HD 110067,d,3,6,0,Transit,2023,Multiple Telescopes,Multiple Instruments,2.852,0.254,8.52,0.02681,2.02,K0.0 V,0.79,0.8,[Fe/H],8.1,2.67787,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,82.37965,281.0126,22.21432,180.68165,32.1585,8.17208,7.6621,189.8392243,20.0273377
HD 110067 e,HD 110067,e,3,6,0,Transit,2023,Multiple Telescopes,Multiple Instruments,1.94,0.173,3.9,0.01227,,K0.0 V,0.79,0.8,[Fe/H],8.1,2.67787,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,82.37965,281.0126,22.21432,180.68165,32.1585,8.17208,7.6621,189.8392243,20.0273377
HD 110067 f,HD 110067,f,3,6,0,Transit,2023,Multiple Telescopes,Multiple Instruments,2.601,0.232,5.04,0.01586,1.57,K0.0 V,0.79,0.8,[Fe/H],8.1,2.67787,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,82.37965,281.0126,22.21432,180.68165,32.1585,8.17208,7.6621,189.8392243,20.0273377
HD 110067 g,HD 110067,g,3,6,0,Transit,2023,Multiple Telescopes,Multiple Instruments,2.607,0.233,8.4,0.02643,,K0.0 V,0.79,0.8,[Fe/H],8.1,2.67787,12h39m21.41s,189.8392243,+20d01m38.42s,20.0273377,82.37965,281.0126,22.21432,180.68165,32.1585,8.17208,7.6621,189.8392243,20.0273377
HD 112300 b,HD 112300,b,1,1,0,Radial Velocity,2023,1.8 m Telescope,BOES Echelle Spectrograph,12.2,1.09,5031.22368,15.83,15.2,M1 III,65.8,1.4,[Fe/H],,,12h55m35.72s,193.8988441,+03d23m50.06s,3.3972376,66.24818,305.50863,8.61244,191.45523,62.07324,2.36431,1.3982,193.8988441,3.3972376
HD 112570 b,HD 112570,b,1,1,0,Radial Velocity,2023,Multiple Telescopes,Multiple Instruments,13.1,1.17,1086.97315,3.42,2.66,K0 III,9.85,1.15,[Fe/H],5.45,,12h57m07.78s,194.2824262,+46d10m35.63s,46.1765638,70.91835,119.9169,46.87742,169.01084,101.166,5.82375,5.21848,194.2824262,46.1765638
HD 135625 b,HD 135625,b,1,1,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,13.3,1.19,731.00534,2.3,1.71,G3 IV/V,1.36,1.28,[M/H],4.4,0.63129,15h17m48.28s,229.4511514,-45d55m21.31s,-45.9225871,9.75878,327.81443,-26.67085,239.59357,56.518,7.56578,7.1619,229.4511514,-45.9225871
HD 154391 b,HD 154391,b,1,1,0,Radial Velocity,2023,Multiple Telescopes,Multiple Instruments,12.5,1.12,2892.2385,9.1,8.14,K1 III,8.56,2.07,[Fe/H],1.1,,17h01m16.83s,255.3201345,+60d38m56.12s,60.6489226,36.80887,90.05451,81.23328,215.40905,100.947,5.89921,5.31961,255.3201345,60.6489226
HD 15906 b,HD 15906,b,1,2,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,2.24,0.2,5.65,0.0178,2.76,K V,0.76,0.79,[Fe/H],,2.58324,02h33m05.10s,38.2712534,-10d21m07.84s,-10.352178,-60.77779,182.77821,-24.03136,32.25966,45.5621,9.47728,8.8723,38.2712534,-10.352178
HD 15906 c,HD 15906,c,1,2,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,2.93,0.261,8.91,0.028,1.95,K V,0.76,0.79,[Fe/H],,2.58324,02h33m05.10s,38.2712534,-10d21m07.84s,-10.352178,-60.77779,182.77821,-24.03136,32.25966,45.5621,9.47728,8.8723,38.2712534,-10.352178
HD 165131 b,HD 165131,b,1,1,0,Radial Velocity,2023,Multiple Telescopes,Multiple Instruments,12.1,1.08,5943.39121,18.7,18.4,G3/5 V,1.06,1.06,[Fe/H],2.7,1.23998,18h05m22.66s,271.3444007,-21d40m25.33s,-21.6737039,-0.18908,8.52065,1.75974,271.24606,57.4263,8.26134,7.8355,271.3444007,-21.6737039
HD 167677 b,HD 167677,b,1,1,0,Radial Velocity,2023,Multiple Telescopes,Multiple Instruments,13.2,1.18,905.81096,2.85,2.16,G5 V,0.95,0.96,[Fe/H],11.5,1.56515,18h16m49.63s,274.2067844,-11d24m24.43s,-11.4067857,2.35367,18.84069,11.97096,274.21151,54.3258,8.7114,8.2424,274.2067844,-11.4067857
HD 169142 b,HD 169142,b,1,1,0,Imaging,2023,8.2 m ESO VLT UT3 Melipal Telescope,SPHERE,13.1,1.17,953.48522,3.0,2.33,,1.54,1.85,,0.006,0.63287,18h24m29.78s,276.1240717,-29d46m49.91s,-29.7805318,-7.80957,3.39212,-6.45484,275.34291,113.6,8.05449,7.83637,276.1240717,-29.7805318
HD 18438 b,HD 18438,b,1,1,0,Radial Velocity,2023,1.8 m Telescope,BOES Echelle Spectrograph,12.1,1.08,6674.39655,21.0,20.7,M2.5 III,88.48,1.84,[Fe/H],5.5,,03h06m07.64s,46.5318358,+79d25m06.89s,79.41858,18.19302,129.0842,58.08871,76.16931,224.146,4.73199,3.77665,46.5318358,79.41858
HD 185283 b,HD 185283,b,1,1,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,13.6,1.22,413.17693,1.3,0.903,K3 V,0.74,0.8,[M/H],6.0,2.71203,19h41m17.61s,295.3233609,-56d19m19.59s,-56.3221096,-29.07595,341.21374,-34.34109,286.68979,31.395,8.71311,8.0946,295.3233609,-56.3221096
HD 207496 b,HD 207496,b,1,1,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,2.25,0.201,6.1,0.01919,3.17,K2.5 V,0.77,0.8,[Fe/H],0.52,2.49539,21h54m52.36s,328.7181708,-77d20m19.69s,-77.3388025,-35.79483,313.77934,-58.20082,290.81936,23.606,7.97255,7.3661,328.7181708,-77.3388025
HD 22946 d,HD 22946,d,1,3,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,2.607,0.233,26.57,0.0836,10.8,F7/F8V,1.12,1.1,[Fe/H],2.5,1.1,03h39m16.69s,54.819538,-42d45m46.90s,-42.7630276,-52.70009,248.83207,-59.50046,33.54309,62.7792,8.1281,7.757,54.819538,-42.7630276
HD 235088 b,HD 235088,b,1,1,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,2.045,0.182,4.84,0.0152,3.11,K2 V,0.79,0.84,[Fe/H],0.7,2.585,20h02m27.71s,300.6154535,+53d22m38.79s,53.3774418,11.77419,87.45784,70.14722,333.45037,41.1706,8.94271,8.3879,300.6154535,53.3774418
TOI-784 b,HD 307842,b,1,1,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,1.93,0.172,9.67,0.03043,7.4,G,0.91,0.91,[Fe/H],,1.781,10h37m21.89s,159.3412205,-63d39m20.49s,-63.6556923,-4.55163,288.70144,-62.18661,207.13328,64.5997,9.23501,8.7537,159.3412205,-63.6556923
HD 36384 b,HD 36384,b,1,1,0,Radial Velocity,2023,1.8 m Telescope,BOES Echelle Spectrograph,12.7,1.13,2097.66749,6.6,5.63,M0 III,38.4,1.14,[Fe/H],0.113,,05h39m43.68s,84.9319998,+75d02m38.36s,75.0439884,21.70555,138.25643,51.64175,87.89078,209.309,5.48147,4.58224,84.9319998,75.0439884
HD 6860 b,HD 6860,b,1,1,0,Radial Velocity,2023,1.8 m Telescope,BOES Echelle Spectrograph,11.9,1.06,8981.83078,28.26,29.3,M0 III,86.4,2.49,[Fe/H],,,01h09m43.91s,17.432979,+35d37m13.80s,35.620499,-27.10288,127.10756,25.94332,30.4013,61.12469,,0.381,17.432979,35.620499
HD 73256 c,HD 73256,c,1,1,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,12.2,1.09,5085.25451,16.0,15.4,G8 IV,0.94,1.0,[Fe/H],2.2,1.62189,08h36m22.80s,129.0949961,-30d02m14.40s,-30.0373339,6.45039,251.53692,-46.59488,142.60069,36.708,7.85676,7.3697,129.0949961,-30.0373339
HD 74698 b,HD 74698,b,1,2,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,5.12,0.457,23.0,0.07,0.942,G5 V,1.33,1.04,[Fe/H],7.847,0.6372,08h40m17.87s,130.0744755,-71d52m36.74s,-71.8768726,-17.86379,286.03584,-75.16054,218.5607,52.0648,7.60959,7.1754,130.0744755,-71.8768726
HD 74698 c,HD 74698,c,1,2,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,14.0,1.24,126.0,0.4,0.252,G5 V,1.33,1.04,[Fe/H],7.847,0.6372,08h40m17.87s,130.0744755,-71d52m36.74s,-71.8768726,-17.86379,286.03584,-75.16054,218.5607,52.0648,7.60959,7.1754,130.0744755,-71.8768726
HD 75302 b,HD 75302,b,1,1,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,12.8,1.14,1716.2734,5.4,4.5,G5 V,0.94,1.06,[M/H],2.1,1.70943,08h49m12.38s,132.3015641,+03d29m06.05s,3.4850141,27.66991,223.97369,-13.76177,133.75644,30.3288,7.283,6.833,132.3015641,3.4850141
K2-312 c,HD 80653,c,1,2,0,Radial Velocity,2023,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,12.8,1.14,1719.45168,5.41,4.51,G2,1.22,1.18,[Fe/H],2.67,0.9,09h21m21.38s,140.3390845,+14d22m04.33s,14.3678691,39.62439,216.49965,-1.0467,138.23096,109.86,9.30733,8.89098,140.3390845,14.3678691
HD 88986 b,HD 88986,b,1,1,0,Radial Velocity,2023,1.93 m Telescope,SOPHIE Spectrograph,2.49,0.222,17.2,0.05412,6.1,G2 V,1.54,1.25,[Fe/H],7.9,0.472,10h16m28.00s,154.1166869,+28d40m55.45s,28.6820708,55.8766,201.08807,16.73862,145.50496,33.2673,6.30259,5.8706,154.1166869,28.6820708
HD 89839 b,HD 89839,b,1,1,0,Radial Velocity,2023,Multiple Telescopes,Multiple Instruments,12.9,1.15,1592.32032,5.01,4.08,F7 V,1.29,1.21,[Fe/H],1.6,0.82222,10h20m40.53s,155.168879,-53d39m50.50s,-53.6640291,2.86438,281.66473,-56.93589,189.71904,57.3063,7.51304,7.1534,155.168879,-53.6640291
HD 94771 b,HD 94771,b,1,1,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,14.2,1.27,169.0,0.53,0.324,G3/G5 V,1.9,1.2,[Fe/H],5.733,0.19604,10h55m53.92s,163.9746776,-35d06m52.28s,-35.1145225,22.03395,277.70079,-38.13913,181.57134,57.7807,7.17929,6.71,163.9746776,-35.1145225
HD 99492 c,HD 99492,c,2,2,0,Radial Velocity,2023,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,4.42,0.394,17.9,0.05632,1.14,K2 V,0.82,0.85,[Fe/H],4.8,2.83673,11h26m45.52s,171.689687,+03d00m25.68s,3.0071331,58.5071,259.27385,-0.53181,171.17797,18.2038,7.26005,6.6584,171.689687,3.0071331
HIP 113103 b,HIP 113103,b,1,2,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,1.829,0.163,4.0,0.0126,3.59,,0.74,0.76,[m/H],0.47,2.49909,22h54m17.37s,343.5723794,-43d00m36.82s,-43.0102291,-61.47915,351.44971,-32.92787,326.67647,46.2122,9.61752,8.9988,343.5723794,-43.0102291
HIP 113103 c,HIP 113103,c,1,2,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,2.4,0.214,6.35,0.02,2.52,,0.74,0.76,[m/H],0.47,2.49909,22h54m17.37s,343.5723794,-43d00m36.82s,-43.0102291,-61.47915,351.44971,-32.92787,326.67647,46.2122,9.61752,8.9988,343.5723794,-43.0102291
HIP 29442 b,HIP 29442,b,1,3,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,3.48,0.31,9.6,0.0302,1.3,,0.98,0.89,[Fe/H],11.7,1.42392,06h12m13.88s,93.0578446,-14d38m57.54s,-14.6493167,-15.18304,221.87205,-38.04872,93.75386,68.192,9.27468,8.7615,93.0578446,-14.6493167
HIP 29442 c,HIP 29442,c,1,3,0,Radial Velocity,2023,8.2 m ESO VLT UT3 Melipal Telescope,ESPRESSO,1.58,0.141,4.5,0.01416,6.3,,0.98,0.89,[Fe/H],11.7,1.42392,06h12m13.88s,93.0578446,-14d38m57.54s,-14.6493167,-15.18304,221.87205,-38.04872,93.75386,68.192,9.27468,8.7615,93.0578446,-14.6493167
HIP 29442 d,HIP 29442,d,1,3,0,Radial Velocity,2023,8.2 m ESO VLT UT3 Melipal Telescope,ESPRESSO,1.37,0.122,5.1,0.01605,11.0,,0.98,0.89,[Fe/H],11.7,1.42392,06h12m13.88s,93.0578446,-14d38m57.54s,-14.6493167,-15.18304,221.87205,-38.04872,93.75386,68.192,9.27468,8.7615,93.0578446,-14.6493167
HIP 54597 b,HIP 54597,b,1,1,0,Radial Velocity,2023,3.6 m ESO Telescope,HARPS Spectrograph,13.3,1.18,762.78818,2.4,1.78,K5 V,0.66,0.8,[Fe/H],4.3,3.52784,11h10m25.97s,167.6082179,-29d24m51.49s,-29.4143018,28.50517,277.9167,-31.66502,181.60185,39.7429,9.4828,8.8392,167.6082179,-29.4143018
HIP 66074 b,HIP 66074,b,1,1,0,Astrometry,2023,1.45 m x 0.5 m Telescope,Gaia CCD array,12.9,1.15,1589.14204,5.0,4.07,,0.69,0.71,[Fe/H],7.9,3.02,13h32m39.26s,203.1635632,+75d00m25.57s,75.0071038,41.83496,119.37115,67.9303,129.26882,35.4438,9.74727,8.989801,203.1635632,75.0071038
HIP 81208 C b,HIP 81208 C,b,3,1,0,Imaging,2023,8.2 m ESO VLT UT3 Melipal Telescope,SPHERE,12.3,1.09,4703.86042,14.8,13.9,M,,0.14,,0.017,,16h35m13.8s,248.8075,-35d43m29.13s,-35.7247583,7.95099,345.70961,-13.56934,252.424,147.533,,,248.8075,-35.7247583
HIP 9618 b,HIP 9618,b,1,2,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,3.9,0.348,10.0,0.03146,0.926,,0.97,1.02,,,1.56324,02h03m37.20s,30.9050061,+21d16m52.78s,21.2813274,-38.53616,144.58681,8.19976,36.11758,67.5478,9.02543,8.5725,30.9050061,21.2813274
HIP 9618 c,HIP 9618,c,1,2,0,Transit,2023,0.1 m TESS Telescope,TESS CCD Array,3.343,0.298,18.3,0.05758,,,0.97,1.02,,,1.56324,02h03m37.20s,30.9050061,+21d16m52.78s,21.2813274,-38.53616,144.58681,8.19976,36.11758,67.5478,9.02543,8.5725,30.9050061,21.2813274
HIP 99770 b,HIP 99770,b,1,1,0,Imaging,2023,Multiple Telescopes,Multiple Instruments,12.2,1.09,5117.03735,16.1,15.5,A5-A6,1.94,1.85,,0.264,0.36695,20h14m32.12s,303.6338344,+36d48m23.78s,36.8066046,1.17139,74.44856,54.57223,319.90639,40.0765,4.9147,4.7906,303.6338344,36.8066046
HN Lib b,HN Lib,b,1,1,0,Radial Velocity,2023,3.5 m telescope,CARMENES,2.2,0.196,5.46,0.01718,2.82,M4.0 V,0.3,0.29,[Fe/H],4.4,13.23608,14h34m16.44s,218.5684823,-12d31m01.22s,-12.5170062,43.15722,338.42026,2.47906,220.17847,6.24442,9.87882,8.56822,218.5684823,-12.5170062
K2-2016-BLG-0005L b,K2-2016-BLG-0005L,b,1,1,0,Microlensing,2023,0.95 m Kepler Telescope,Kepler CCD Array,13.7,1.23,349.61125,1.1,0.747,,,0.58,,,,17h59m31.16s,269.8798333,-27d36m26.90s,-27.6074722,-1.95829,2.70141,-4.16824,269.88936,5200.0,,,269.8798333,-27.6074722
K2-415 b,K2-415,b,1,1,0,Transit,2023,0.95 m Kepler Telescope,Kepler CCD Array,1.015,0.091,7.5,0.0236,,M5 V,0.2,0.16,[Fe/H],,30.3,09h08m48.37s,137.2015437,+11d51m44.10s,11.8622503,35.80871,217.79828,-4.35234,136.06345,21.8182,13.7957,12.4289,137.2015437,11.8622503
K2-416 b,K2-416,b,1,1,0,Transit,2023,0.95 m Kepler Telescope,Kepler CCD Array,2.66,0.237,1652.70772,5.2,,M V,0.55,0.55,,,4.5822,23h16m53.08s,349.2211822,-05d12m05.41s,-5.2015032,-58.57188,72.95364,-0.52098,348.05247,120.311,13.9468,12.8964,349.2211822,-5.2015032
K2-417 b,K2-417,b,1,1,0,Transit,2023,0.95 m Kepler Telescope,Kepler CCD Array,3.31,0.295,699.2225,2.2,,M V,0.58,0.57,,,4.18224,23h20m34.02s,350.1417675,-10d02m11.72s,-10.0365901,-62.60382,67.1966,-5.3267,346.99478,94.0424,13.1533,12.1559,350.1417675,-10.0365901
KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,b,1,1,0,Microlensing,2023,1.6 m wide-field telescope,18k Mosaic CCD camera,1.33,0.118,2.32,0.0073,5.42,,,0.41,,,,17h45m47.34s,266.44725,-26d15m58.93s,-26.2663694,1.35832,2.29896,-2.86641,266.80662,5080.0,,,266.44725,-26.2663694
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,b,1,1,0,Microlensing,2023,1.6 m wide-field telescope,18k Mosaic CCD camera,2.23,0.199,5.59,0.01759,2.77,,,0.34,,,,18h05m32.46s,271.38525,-28d29m25.01s,-28.4902806,-3.54923,2.58566,-5.05688,271.21836,5400.0,,,271.38525,-28.4902806
KMT-2017-BLG-1003L b,KMT-2017-BLG-1003L,b,1,1,0,Microlensing,2023,1.6 m wide-field telescope,18k Mosaic CCD camera,2.13,0.19,5.19,0.01633,2.95,,,0.32,,,,17h41m38.76s,265.4115,-24d22m26.18s,-24.3739389,3.14652,3.42241,-1.0012,265.81672,7090.0,,,265.4115,-24.3739389
KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,b,1,1,0,Microlensing,2023,1.6 m wide-field telescope,18k Mosaic CCD camera,1.7,0.152,3.54,0.01114,3.96,,,0.41,,,,18h17m17.31s,274.322125,-25d19m26.18s,-25.3239389,-4.33653,6.62779,-1.94328,273.90449,4240.0,,,274.322125,-25.3239389
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,b,1,1,0,Microlensing,2023,1.6 m wide-field telescope,18k Mosaic CCD camera,13.4,1.2,575.26942,1.81,1.31,,,0.7,,,,17h39m30.72s,264.878,-27d38m17.30s,-27.6381389,1.82651,0.39585,-4.2797,265.44717,6710.0,,,264.878,-27.6381389
KMT-2019-BLG-1216L b,KMT-2019-BLG-1216L,b,1,1,0,Microlensing,2023,1.6 m wide-field telescope,18k Mosaic CCD camera,5.98,0.533,29.87587,0.094,0.768,,,0.39,,,,17h53m55.35s,268.480625,-35d08m11.90s,-35.1366389,-4.68579,355.5703,-11.70405,268.72728,2740.0,,,268.480625,-35.1366389
KMT-2019-BLG-1367L b,KMT-2019-BLG-1367L,b,1,1,0,Microlensing,2023,1.6 m wide-field telescope,18k Mosaic CCD camera,1.85,0.165,4.08,0.01284,3.54,,,0.25,,,,18h09m53.12s,272.4713333,-29d45m43.96s,-29.7622111,-4.99338,1.92632,-6.34144,272.15453,4670.0,,,272.4713333,-29.7622111
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,b,1,1,0,Microlensing,2023,1.6 m wide-field telescope,18k Mosaic CCD camera,2.0,0.179,4.67,0.01469,3.21,,,0.74,,,,18h02m09.01s,270.5375417,-29d24m53.60s,-29.4148889,-3.35396,1.41436,-5.97649,270.46693,6640.0,,,270.5375417,-29.4148889
KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,b,1,1,0,Microlensing,2023,1.6 m wide-field telescope,18k Mosaic CCD camera,13.7,1.22,368.68095,1.16,0.788,,,0.34,,,,17h57m10.06s,269.2919167,-33d47m18.67s,-33.7885194,-4.59238,357.07727,-10.35071,269.39791,5910.0,,,269.2919167,-33.7885194
